1,xx,No Language
2,aa,Afar
3,af,Afrikaans
4,ak,Akan
5,an,Aragonese
6,as,Assamese
7,av,Avaric
8,ae,Avestan
9,ay,Aymara
10,az,Azerbaijani
11,ba,Bashkir
12,bm,Bambara
13,bi,Bislama
14,bo,Tibetan
15,br,Breton
16,ca,Catalan
17,cs,Czech
18,ce,Chechen
19,cu,Slavic
20,cv,Chuvash
21,kw,Cornish
22,co,Corsican
23,cr,Cree
24,cy,Welsh
25,da,Danish
26,de,German
27,dv,Divehi
28,dz,Dzongkha
29,eo,Esperanto
30,et,Estonian
31,eu,Basque
32,fo,Faroese
33,fj,Fijian
34,fi,Finnish
35,fr,French
36,fy,Frisian
37,ff,Fulah
38,gd,Gaelic
39,ga,Irish
40,gl,Galician
41,gv,Manx
42,gn,Guarani
43,gu,Gujarati
44,ht,Haitian; Haitian Creole
45,ha,Hausa
46,sh,Serbo-Croatian
47,hz,Herero
48,ho,Hiri Motu
49,hr,Croatian
50,hu,Hungarian
51,ig,Igbo
52,io,Ido
53,ii,Yi
54,iu,Inuktitut
55,ie,Interlingue
56,ia,Interlingua
57,id,Indonesian
58,ik,Inupiaq
59,is,Icelandic
60,it,Italian
61,jv,Javanese
62,ja,Japanese
63,kl,Kalaallisut
64,kn,Kannada
65,ks,Kashmiri
66,kr,Kanuri
67,kk,Kazakh
68,km,Khmer
69,ki,Kikuyu
70,rw,Kinyarwanda
71,ky,Kirghiz
72,kv,Komi
73,kg,Kongo
74,ko,Korean
75,kj,Kuanyama
76,ku,Kurdish
77,lo,Lao
78,la,Latin
79,lv,Latvian
80,li,Limburgish
81,ln,Lingala
82,lt,Lithuanian
83,lb,Letzeburgesch
84,lu,Luba-Katanga
85,lg,Ganda
86,mh,Marshall
87,ml,Malayalam
88,mr,Marathi
89,mg,Malagasy
90,mt,Maltese
91,mo,Moldavian
92,mn,Mongolian
93,mi,Maori
94,ms,Malay
95,my,Burmese
96,na,Nauru
97,nv,Navajo
98,nr,Ndebele
99,nd,Ndebele
100,ng,Ndonga
101,ne,Nepali
102,nl,Dutch
103,nn,Norwegian Nynorsk
104,nb,Norwegian Bokmål
105,no,Norwegian
106,ny,Chichewa; Nyanja
107,oc,Occitan
108,oj,Ojibwa
109,or,Oriya
110,om,Oromo
111,os,Ossetian; Ossetic
112,pi,Pali
113,pl,Polish
114,pt,Portuguese
115,qu,Quechua
116,rm,Raeto-Romance
117,ro,Romanian
118,rn,Rundi
119,ru,Russian
120,sg,Sango
121,sa,Sanskrit
122,si,Sinhalese
123,sk,Slovak
124,sl,Slovenian
125,se,Northern Sami
126,sm,Samoan
127,sn,Shona
128,sd,Sindhi
129,so,Somali
130,st,Sotho
131,es,Spanish
132,sq,Albanian
133,sc,Sardinian
134,sr,Serbian
135,ss,Swati
136,su,Sundanese
137,sw,Swahili
138,sv,Swedish
139,ty,Tahitian
140,ta,Tamil
141,tt,Tatar
142,te,Telugu
143,tg,Tajik
144,tl,Tagalog
145,th,Thai
146,ti,Tigrinya
147,to,Tonga
148,tn,Tswana
149,ts,Tsonga
150,tk,Turkmen
151,tr,Turkish
152,tw,Twi
153,ug,Uighur
154,uk,Ukrainian
155,ur,Urdu
156,uz,Uzbek
157,ve,Venda
158,vi,Vietnamese
159,vo,Volapük
160,wa,Walloon
161,wo,Wolof
162,xh,Xhosa
163,yi,Yiddish
164,za,Zhuang
165,zu,Zulu
166,ab,Abkhazian
167,zh,Mandarin
168,ps,Pushto
169,am,Amharic
170,ar,Arabic
171,bg,Bulgarian
172,cn,Cantonese
173,mk,Macedonian
174,el,Greek
175,fa,Persian
176,he,Hebrew
177,hi,Hindi
178,hy,Armenian
179,en,English
180,ee,Ewe
181,ka,Georgian
182,pa,Punjabi
183,bn,Bengali
184,bs,Bosnian
185,ch,Chamorro
186,be,Belarusian
187,yo,Yoruba
